time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1618442902, 12, 4, 14200, 47, 806239, 59.07, 59.10
1618442954, 12, 4, 14200, 52, 451014, 60.15, 60.10
1618443005, 12, 4, 14200, 51, 144951, 61.76, 61.80
1618443056, 12, 4, 14200, 50, 799547, 63.38, 62.80
1618443107, 12, 4, 14200, 51, 7953, 64.45, 64.50
1618443159, 12, 4, 14200, 51, 97490, 64.45, 64.50
1618443210, 12, 4, 14200, 51, 155076, 64.45, 64.50
1618443262, 12, 4, 14200, 51, 653768, 64.99, 65.00
1618443313, 12, 4, 14200, 50, 814650, 66.07, 66.10
1618443363, 12, 4, 14200, 50, 586353, 66.07, 65.50
1618443414, 12, 4, 14200, 50, 787107, 66.60, 65.50
1618443465, 12, 4, 14200, 51, 105325, 66.60, 65.50
1618443516, 12, 4, 14200, 50, 831568, 66.07, 66.60
1618443567, 12, 4, 14200, 50, 904438, 66.60, 66.60
1618443619, 12, 4, 14200, 51, 16770, 66.60, 66.10
1618443669, 12, 4, 14200, 50, 178896, 67.14, 66.60
1618443720, 12, 4, 14200, 50, 936847, 66.60, 66.10
1618443771, 12, 4, 14200, 50, 882116, 66.60, 66.10
1618443822, 12, 4, 14200, 51, 332996, 65.53, 65.50
1618443874, 12, 4, 14200, 50, 981651, 66.60, 66.60
1618443925, 12, 4, 14200, 50, 970873, 66.60, 66.60
1618443975, 12, 4, 14200, 50, 547591, 66.60, 66.60
1618444026, 12, 4, 14200, 50, 807223, 66.60, 66.60
1618444077, 12, 4, 14200, 50, 904212, 66.60, 66.60
1618444128, 12, 4, 14200, 51, 7647, 66.60, 66.60
1618444179, 12, 4, 14200, 50, 821681, 66.60, 66.60
1618444230, 12, 4, 14200, 50, 939279, 66.60, 66.10
1618444282, 12, 4, 14200, 51, 89287, 66.60, 66.60
1618444333, 12, 4, 14200, 50, 969308, 66.60, 66.60
1618444384, 12, 4, 14200, 50, 946169, 66.60, 66.60
1618444435, 12, 4, 14200, 51, 282496, 66.60, 65.50
1618444487, 12, 4, 14200, 51, 480434, 66.60, 66.60
1618444538, 12, 4, 14200, 51, 192602, 66.60, 66.60
1618444589, 12, 4, 14200, 51, 305, 67.14, 66.60
1618444640, 12, 4, 14200, 50, 697668, 66.60, 66.60
1618444691, 12, 4, 14200, 50, 593910, 66.60, 66.60
1618444742, 12, 4, 14200, 50, 805260, 67.14, 66.60
1618444792, 12, 4, 14200, 50, 727338, 67.14, 67.10
1618444843, 12, 4, 14200, 50, 797177, 67.14, 66.60
1618444894, 12, 4, 14200, 50, 792661, 67.14, 66.60
1618444946, 12, 4, 14200, 51, 399575, 66.07, 66.60
1618444998, 12, 4, 14200, 51, 743193, 65.53, 66.60
1618445049, 12, 4, 14200, 50, 912825, 66.60, 66.60
1618445100, 12, 4, 14200, 51, 145128, 67.14, 66.60
1618445151, 12, 4, 14200, 50, 985059, 66.60, 66.60
1618445204, 12, 4, 14200, 52, 524532, 65.53, 65.50
1618445256, 12, 4, 14200, 51, 757544, 66.60, 66.60
1618445307, 12, 4, 14200, 51, 175495, 65.53, 66.10
1618445358, 12, 4, 14200, 50, 924970, 66.60, 66.60
1618445410, 12, 4, 14200, 51, 930206, 66.60, 66.10
1618445461, 12, 4, 14200, 50, 851472, 66.60, 66.60
1618445513, 12, 4, 14200, 51, 468287, 66.07, 66.60
1618445564, 12, 4, 14200, 50, 987094, 66.60, 66.60
1618445616, 12, 4, 14200, 52, 291510, 65.53, 66.10
1618445668, 12, 4, 14200, 51, 287205, 66.60, 66.60
1618445719, 12, 4, 14200, 51, 149852, 67.14, 66.60
1618445770, 12, 4, 14200, 50, 724664, 66.60, 67.10
1618445821, 12, 4, 14200, 51, 333814, 66.60, 66.60
1618445872, 12, 4, 14200, 51, 100453, 66.60, 66.60
1618445923, 12, 4, 14200, 50, 951981, 66.60, 66.60
1618445974, 12, 4, 14200, 50, 521820, 67.14, 66.60
1618446025, 12, 4, 14200, 50, 610187, 66.60, 67.10
1618446076, 12, 4, 14200, 50, 956875, 67.14, 67.10
1618446128, 12, 4, 14200, 52, 391551, 66.07, 65.50
1618446179, 12, 4, 14200, 50, 764588, 67.14, 66.60
1618446232, 12, 4, 14200, 52, 503988, 65.53, 65.50
1618446283, 12, 4, 14200, 51, 226248, 66.60, 67.10
1618446334, 12, 4, 14200, 50, 915356, 66.60, 66.60
1618446385, 12, 4, 14200, 51, 50928, 66.60, 66.60
1618446437, 12, 4, 14200, 50, 930204, 66.60, 66.60
1618446487, 12, 4, 14200, 50, 745587, 66.60, 66.60
1618446539, 12, 4, 14200, 51, 96689, 66.60, 66.60
1618446591, 12, 4, 14200, 51, 927767, 66.07, 66.10
1618446643, 12, 4, 14200, 51, 777305, 66.60, 66.10
1618446694, 12, 4, 14200, 51, 95891, 66.60, 67.10
1618446745, 12, 4, 14200, 51, 296652, 66.60, 66.60
1618446796, 12, 4, 14200, 50, 912645, 66.60, 66.60
1618446847, 12, 4, 14200, 50, 866447, 67.14, 66.60
1618446899, 12, 4, 14200, 52, 56946, 65.53, 66.10
1618446951, 12, 4, 14200, 51, 109475, 66.60, 66.60
1618447002, 12, 4, 14200, 51, 585252, 66.60, 66.10
1618447054, 12, 4, 14200, 51, 828274, 66.60, 66.60
1618447106, 12, 4, 14200, 51, 600264, 66.07, 65.50
1618447157, 12, 4, 14200, 51, 363875, 65.53, 66.60
1618447208, 12, 4, 14200, 50, 931857, 67.14, 66.60
1618447260, 12, 4, 14200, 51, 199, 66.60, 66.60
1618447311, 12, 4, 14200, 50, 930536, 66.60, 66.60
1618447363, 12, 4, 14200, 52, 530213, 66.07, 66.60
1618447415, 12, 4, 14200, 51, 269641, 66.60, 65.50
1618447466, 12, 4, 14200, 51, 504967, 66.60, 66.60
1618447517, 12, 4, 14200, 50, 655375, 66.60, 67.10
1618447568, 12, 4, 14200, 50, 575434, 67.14, 66.60
1618447619, 12, 4, 14200, 51, 330357, 66.07, 66.60
1618447670, 12, 4, 14200, 51, 18481, 66.60, 66.60
1618447721, 12, 4, 14200, 50, 894219, 66.60, 66.60
1618447772, 12, 4, 14200, 50, 989242, 66.60, 66.60
1618447824, 12, 4, 14200, 51, 82159, 66.60, 66.60
1618447875, 12, 4, 14200, 51, 547655, 66.60, 65.50
1618447926, 12, 4, 14200, 50, 610654, 66.60, 66.60
1618447977, 12, 4, 14200, 50, 929322, 66.60, 66.60
